TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
VILG11;106,66;0,700000;7,67;111,87;0,95;2.605.356,57;1,99;6,99;-6,28;1.677.696.436,84;164.511,00;Ativa;14.997.396,00
VINO11;8,86;0,060000;8,65;10,86;0,82;1.032.313,84;3,53;-9,75;-9,06;899.254.538,15;132.954,00;Ativa;82.826.295,00
VISC11;120,94;0,920000;8,10;115,20;1,05;8.179.297,73;6,25;25,36;3,18;2.141.699.157,05;262.412,00;Ativa;18.591.052,00
VIUR11;8,23;0,072000;10,50;9,06;0,91;379.978,54;5,30;;;244.119.645,90;42.205,00;Ativa;26.946.220,00
VJFD11;0,00;0,740000;0,00;136,37;;;1,13;;;664.967.223,14;97,00;Ativa;4.876.129,00
VLIQ11;0,00;;0,00;0,00;;;;;;0,00;1,00;Ativa;0,00
VLJS11;1.141,14;28,819221;0,00;969,90;1,18;;2,21;;;25.283.966,54;9,00;Passiva;26.068,00
VLOL11;98,00;1,856441;6,35;111,06;0,88;160.238,13;16,46;14,56;-2,23;198.219.080,15;3.127,00;Passiva;1.784.828,00
VOTS11;84,17;0,750000;14,95;93,88;0,90;4.594,43;6,40;28,49;1,23;77.721.388,23;683,00;Ativa;827.913,00
VPSI11;0,00;0,188227;0,00;21,42;;;1,01;32,79;;172.909.030,51;53,00;Passiva;8.071.897,00
VRTA11;89,57;0,700000;12,19;93,63;0,96;2.222.234,19;4,12;0,62;-4,85;1.459.886.440,35;123.598,00;Ativa;15.592.424,00
VSEC11;0,21;0,080000;952,38;3,00;0,07;2,50;99,26;-0,62;-85,76;188.468,90;64,00;Ativa;62.735,00
VSHO11;76,05;0,720000;10,31;101,20;0,75;178.653,24;1,57;27,16;-4,64;212.388.811,77;3.442,00;Ativa;2.098.800,00
VSLH11;3,58;0,030000;20,81;10,30;0,35;327.206,03;0,72;;;307.686.430,65;89.772,00;Ativa;29.864.091,00
VTLT11;94,82;0,880000;10,93;101,15;0,94;246.948,24;3,21;5,12;-6,93;213.932.692,94;6.066,00;Ativa;2.115.000,00
VTPA11;0,00;;0,00;101,90;;;1,50;;;66.233.209,13;1,00;Ativa;650.000,00
VTPL11;0,00;5,110000;0,00;77,02;;;3,00;;;106.772.861,22;1,00;Ativa;1.386.242,00
VTRT11;0,00;0,107508;0,00;100,80;;;20,14;;;1.030.654.046,20;499,00;Ativa;10.224.963,00
VTVI11;0,00;;0,00;34,74;;;1,53;;;61.870.159,51;1,00;Ativa;1.780.984,00
VTXI11;0,00;;0,00;9,55;;;36,04;;;988.120,08;2,00;Ativa;103.500,00
VVCO11;12,98;0,323281;0,00;14,20;0,91;240.758,62;2,06;;21,43;71.225.994,48;3.721,00;Ativa;5.014.556,00
VVCR11;21,04;0,062942;21,31;22,21;0,95;91.146,24;14,94;-5,52;-36,26;32.129.961,12;3.339,00;Ativa;1.446.403,00
VVPR11;101,50;0,892340;0,00;98,03;1,04;1.249.061,55;1,27;;0,53;226.032.234,18;1.372,00;Ativa;2.305.771,00
VVRI11;96,51;1,300000;8,50;95,68;1,01;10.163,45;4,75;;;38.270.406,39;89,00;Ativa;400.000,00
VXXV11;1.030,00;10,760000;0,00;1.086,83;0,95;6.478.127,78;0,30;;;290.668.150,86;23,00;Ativa;267.446,00
WHGR11;9,65;0,100000;11,71;10,00;0,97;461.773,70;2,61;;;250.810.399,20;9.462,00;Ativa;25.089.531,00
WPLZ11;65,57;0,410000;8,77;87,77;0,75;9.033,11;3,98;7,03;-5,08;89.591.274,52;1.877,00;Passiva;1.020.747,00
WSEC11;85,44;0,947800;15,27;100,89;0,85;12.181,66;2,49;;;24.783.243,69;444,00;Ativa;245.651,00
WTSP11B;36,50;0,200000;5,88;72,52;0,50;2.863,56;0,71;7,73;-11,13;71.977.120,70;198,00;Ativa;992.565,00
XBXO11;0,00;;0,00;94,95;;;0,00;;;288.890.053,26;6,00;Ativa;3.042.600,00
XPCI11;88,43;0,900000;11,75;94,00;0,94;2.381.098,35;0,61;1,83;-0,58;817.961.227,77;75.110,00;Ativa;8.701.551,00
XPCM11;11,97;0,070000;11,70;41,60;0,29;29.930,22;8,05;-41,46;-41,23;100.457.552,53;24.894,00;Passiva;2.414.570,00
XPIN11;82,11;0,650000;9,48;103,93;0,79;422.434,19;2,48;1,18;-10,55;743.117.539,32;44.927,00;Ativa;7.150.422,00
XPLG11;113,54;0,780000;7,94;110,81;1,02;3.680.962,38;3,43;8,05;-4,29;3.003.131.838,53;312.524,00;Ativa;27.101.061,00
XPML11;110,98;0,850000;8,70;112,32;0,99;14.445.382,84;24,11;24,98;1,55;3.462.052.426,09;357.599,00;Ativa;30.822.213,00
XPPR11;22,00;0,100000;10,00;70,31;0,31;355.919,05;3,55;-30,77;-36,07;514.431.993,46;60.101,00;Ativa;7.316.171,00
XPSF11;8,52;0,075000;10,75;8,75;0,97;578.835,81;2,40;0,78;-4,03;378.973.987,60;47.223,00;Ativa;43.302.140,00
YUFI11;88,90;0,383187;3,70;101,66;0,87;149,00;8,94;;;50.084.544,38;56,00;Ativa;492.650,00
ZAVI11;129,18;1,160000;9,54;135,32;0,95;523.192,32;5,73;;;158.779.618,00;3.838,00;Ativa;1.173.322,00
ZIFI11;900,00;3,304958;0,00;1.204,65;0,75;22.051,41;0,00;;;57.202.841,60;74,00;Ativa;47.485,00
