TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
BNFS11;116,97;1,413556;13,00;99,31;1,18;63.439,30;5,53;11,92;-2,45;69.517.685,50;3.556,00;Ativa;700.000,00
TRNT11;112,24;0,400000;4,41;202,48;0,55;7.953,95;0,60;-14,98;-16,82;796.866.767,12;788,00;Passiva;3.935.562,00
MMPD11;0,00;;0,00;99,78;;;4,23;;;52.884.220,84;48,00;Ativa;530.000,00
RELG11;75,47;0,970000;12,50;120,58;0,62;244.051,78;0,66;;;160.923.032,64;5.598,00;Ativa;1.334.562,00
HLOG11;87,34;0,650000;8,79;111,17;0,79;135.167,30;1,37;;;472.461.986,94;4.222,00;Ativa;4.250.000,00
HGFF11;69,94;0,620000;9,77;89,43;0,78;307.286,87;4,67;;;256.100.841,42;8.813,00;Ativa;2.863.597,00
RBRD11;38,55;0,300000;10,56;70,46;0,55;82.984,57;3,09;-45,08;-27,65;130.471.665,38;10.401,00;Passiva;1.851.786,00
SDIL11;86,80;0,760000;10,14;99,88;0,87;840.187,22;1,29;10,80;-7,86;638.749.928,55;57.679,00;Ativa;6.395.050,00
PATB11;0,00;6,074285;0,00;145,64;;;2,59;;;556.700.389,51;58,00;Ativa;3.822.328,00
GTLG11;99,89;0,700000;6,31;94,20;1,06;1.767.670,91;4,18;;;675.663.743,88;86,00;Ativa;7.173.000,00
NAVT11;72,19;0,850000;11,08;90,23;0,80;136.233,17;8,89;;;95.150.786,99;1.715,00;Ativa;1.054.507,00
BCRI11;106,92;1,470000;13,94;107,20;1,00;999.176,17;3,56;16,09;-5,97;670.869.079,01;47.131,00;Ativa;6.257.873,00
RDPD11;52,52;0,500000;12,68;59,07;0,89;33.025,43;5,07;9,23;-15,61;63.680.942,27;1.130,00;Ativa;1.078.042,00
TCIN11;121,00;;0,00;108,04;1,12;1.282.226,67;0,63;;;89.805.500,05;176,00;Ativa;831.197,00
MGRI11;0,00;;0,00;102,18;;;30,80;;;22.478.968,39;1,00;Ativa;220.000,00
CVPR11;0,00;;0,00;99,91;;;14,18;;;13.987.433,37;2,00;Ativa;140.000,00
MVFI11;0,00;;0,00;1,58;;;0,09;;;123.247.346,66;1,00;Ativa;78.155.673,00
LPLP11;0,00;9,926451;0,00;901,44;;;0,96;;;49.624.125,80;2,00;Ativa;55.050,00
RBBV11;100,00;0,224057;0,22;100,84;0,99;;1,01;75,40;6,33;126.470.249,69;3.475,00;Passiva;1.254.164,00
MGHT11;70,20;0,800000;12,65;98,85;0,71;86.797,83;1,06;;;129.866.209,04;785,00;Ativa;1.313.784,00
MCHF11;9,40;0,110000;12,71;9,72;0,96;950.217,61;6,74;;;313.894.381,58;13.776,00;Ativa;32.307.646,00
RBTS11;1.000,00;23,361118;5,97;1.173,00;0,85;;0,95;;;66.303.621,16;56,00;Ativa;56.525,00
VLOL11;98,29;0,530000;6,34;103,52;0,95;108.103,30;1,35;3,67;-1,28;184.771.601,68;3.740,00;Passiva;1.784.828,00
FIGS11;47,24;0,400000;8,66;99,44;0,48;256.481,74;4,38;-6,12;-9,21;283.406.000,40;16.005,00;Passiva;2.850.000,00
DVFF11;72,00;0,800000;10,14;92,06;0,78;61.031,45;6,94;;;101.357.430,47;322,00;Ativa;1.100.950,00
VJFD11;0,00;0,994900;0,00;132,61;;;0,94;;;646.609.198,61;97,00;Ativa;4.876.129,00
CXAG11;74,99;0,850000;5,15;102,40;0,73;129.105,91;1,39;;;214.084.247,38;12.073,00;Passiva;2.090.621,00
BICE11;1.000,00;5,400000;7,48;965,73;1,04;24.000,00;30,74;;;13.065.381,45;95,00;Ativa;13.529,00
VERE11;233,49;5,334300;14,20;339,52;0,69;;5,28;20,72;;186.765.744,28;53,00;Ativa;550.084,00
PQAG11;57,04;0,410000;8,17;56,97;1,00;1.264,70;0,07;;;797.170.393,11;452,00;Ativa;13.991.890,00
PORD11;95,56;1,720000;14,54;99,35;0,96;814.391,57;3,93;-21,37;-4,26;370.419.863,56;16.903,00;Ativa;3.728.375,00
ERCR11;76.000,00;1.173,773302;16,86;70.498,04;1,08;76.000,00;0,15;;;167.503.350,23;10,00;Passiva;2.376,00
VSHO11;78,37;0,630000;9,40;101,61;0,77;14.887,57;2,04;-0,89;-7,91;213.265.274,29;2.079,00;Ativa;2.098.800,00
MGLG11;43,85;0,600000;14,99;48,19;0,91;106.116,26;4,85;;;57.395.561,83;2.226,00;Ativa;1.191.015,00
PNLN11;0,00;;0,00;68,65;;;81,85;;;674.935,02;1,00;Ativa;9.831,00
OULG11;42,49;0,170000;9,84;73,46;0,58;85.285,91;2,39;-18,83;-28,17;182.267.031,86;6.067,00;Ativa;2.481.284,00
NSLU11;142,03;0,490000;10,65;195,91;0,73;341.759,65;0,14;1,41;-17,21;243.966.075,48;7.268,00;Passiva;1.245.311,00
MANA11;0,00;0,080000;0,00;9,65;;;77,09;;;113.563.600,05;65,00;Ativa;11.770.000,00
HBTT11;1.055,00;16,580000;0,00;0,00;;;;;-9,58;0,00;0,00;Ativa;0,00
